101	Wellington P	WS Wanderers	2.12	3.03	2.50	1.77	1.59	1.77	1.59
102	Chengdu R.	Shanghai Sipg	2.06	2.88	2.47	1.64	1.62	1.64	1.62
103	Hebei	Beijin Guoan	2.06	2.88	2.47	1.64	1.62	1.64	1.62
104	Sudeva Delhi 	Churchill Bro	3.06	2.85	1.78	1.53	1.74	1.53	1.74
105	Sydney	Mel. City	2.45	3.12	2.12	1.96	1.47	1.96	1.47
106	Nice	Girona	2.61	3.00	1.92	1.83	1.47	1.83	1.47
107	Keçiörengücü	Adanaspor	1.58	3.25	3.81	1.81	1.57	1.81	1.57
108	Tuzlaspor	Rizespor	1.58	3.25	3.81	1.81	1.57	1.81	1.57
109	R. Valladolid	Lille	2.06	2.98	2.40	1.82	1.48	1.82	1.48
110	Rayong FC	Chainat FC	1.47	3.30	3.96	1.77	1.51	1.77	1.51
111	Shenzhen	Changchun Y.	3.40	3.00	1.64	1.79	1.51	1.79	1.51
112	Persija Jakar	Persik Kediri	1.09	4.58	10.05	1.67	1.60	1.67	1.60
113	Sporting Lisb	Amora FC	2.15	2.77	2.43	1.56	1.71	1.56	1.71
114	Nakhon SI Uni	Ayutthaya Ut	1.44	3.33	4.07	1.73	1.55	1.73	1.55
115	Sheffield Utd	Zhejiang (D)	2.20	3.10	2.40	3.00	1.17	3.00	1.17
116	Perth Glory	Western U.	2.67	3.12	1.97	1.89	1.51	1.89	1.51
117	G. Evergrande	Guangzhou RF	2.39	2.87	2.13	1.63	1.63	1.63	1.63
118	Zhejiang	Meizhou Hakka	2.39	2.87	2.13	1.63	1.63	1.63	1.63
119	Blackburn	Preston	2.02	2.79	2.87	1.44	2.01	1.44	2.01
120	Bochum	Karlsruhe	1.57	3.53	3.13	3.03	1.12	3.03	1.12
121	Feyenoord	Oostende	1.57	3.53	3.13	3.03	1.12	3.03	1.12
122	Gornik Zabrze	M. Legnica	1.57	3.53	3.13	3.03	1.12	3.03	1.12
123	Osasuna	Lorient	1.57	3.53	3.13	3.03	1.12	3.03	1.12
124	Paderborn	Osnabruck	1.57	3.53	3.13	3.03	1.12	3.03	1.12
125	Rangers	B. Leverkusen	1.57	3.53	3.13	3.03	1.12	3.03	1.12
126	Tianjin Teda	Henan Jianye	2.53	2.93	2.00	1.70	1.57	1.70	1.57
127	NK Bravo	Koper	2.34	2.80	2.21	1.56	1.72	1.56	1.72
128	FC Goa	Odisha FC	1.81	3.15	2.72	1.93	1.41	1.93	1.41
129	Birkirkara FC	Balzan FC	1.66	2.91	3.45	1.55	1.72	1.55	1.72
130	Pieta Hotspur	Sirens FC	1.66	2.91	3.45	1.55	1.72	1.55	1.72
131	Babelsberg 03	E. Cottbus	3.42	3.30	1.56	1.94	1.41	1.94	1.41
132	ZFC Meuselwit	Tennis Boruss	3.42	3.30	1.56	1.94	1.41	1.94	1.41
133	R. Granada	Ucam Murcia C	2.74	2.79	1.95	1.49	1.82	1.49	1.82
134	Rotherham	Bristol City	2.63	2.92	2.09	1.58	1.80	1.58	1.80
135	Ipswich T.	Peterborough	1.37	3.43	4.71	1.70	1.57	1.70	1.57
136	Shrewsbury	Bolton	1.37	3.43	4.71	1.70	1.57	1.70	1.57
137	Dartford	Bath City	1.66	3.15	3.16	1.77	1.51	1.77	1.51
138	Denizlispor	Altay	2.57	2.97	2.09	1.59	1.77	1.59	1.77
139	Augsburg	Grasshoppers	1.44	3.59	3.80	2.27	1.27	2.27	1.27
140	Lugano	Monza	1.44	3.59	3.80	2.27	1.27	2.27	1.27
141	Harrogate Tow	Northampton	2.60	2.84	2.00	1.54	1.74	1.54	1.74
142	Balingen	1921 Aalen	1.58	3.25	3.36	1.87	1.45	1.87	1.45
143	Hessen Kassel	Frankfurt 189	1.58	3.25	3.36	1.87	1.45	1.87	1.45
144	Homburg-Saar	SGV Freiberg	1.58	3.25	3.36	1.87	1.45	1.87	1.45
145	Mainz 05 II	Barockstadt	1.58	3.25	3.36	1.87	1.45	1.87	1.45
146	Offenbacher	RW Koblenz	1.58	3.25	3.36	1.87	1.45	1.87	1.45
147	Steinbach H.	Bahlinger	1.58	3.25	3.36	1.87	1.45	1.87	1.45
148	Stuttgart II	Wormatia 08 	1.58	3.25	3.36	1.87	1.45	1.87	1.45
149	Ulm 1846	Eintracht Tri	1.58	3.25	3.36	1.87	1.45	1.87	1.45
150	Carl Zeiss Je	Lok. Leipzig	1.75	3.17	2.85	1.89	1.44	1.89	1.44
151	M.Gladbach II	1. FC Duren	1.53	3.30	3.53	1.84	1.46	1.84	1.46
152	SV 19 Straele	ROT Weiss Obe	1.53	3.30	3.53	1.84	1.46	1.84	1.46
153	W.brück	Wuppertaler	1.53	3.30	3.53	1.84	1.46	1.84	1.46
154	Wattenscheid	Rot Weis Ahl	1.53	3.30	3.53	1.84	1.46	1.84	1.46
155	Connah's	Aberystwyth	1.12	4.69	7.80	2.07	1.35	2.07	1.35
156	Flint Town Ut	Cardiff MU	1.12	4.69	7.80	2.07	1.35	2.07	1.35
157	Alessandria	Aquila Montev	2.09	2.59	2.68	1.37	2.02	1.37	2.02
158	ASD San Donat	Imolese	2.09	2.59	2.68	1.37	2.02	1.37	2.02
159	Reggiana	Olbia	2.09	2.59	2.68	1.37	2.02	1.37	2.02
160	Torres Sassar	Gubbio	2.09	2.59	2.68	1.37	2.02	1.37	2.02
161	Vis Pesaro	Cesena	2.09	2.59	2.68	1.37	2.02	1.37	2.02
162	Reading	Coventry City	2.24	2.81	2.49	1.48	1.94	1.48	1.94
163	Burton	Derby County	2.65	2.93	1.93	1.64	1.63	1.64	1.63
164	Forest Green	Cheltenham	2.65	2.93	1.93	1.64	1.63	1.64	1.63
165	Udinese	West Ham Utd.	2.83	3.17	1.76	1.93	1.42	1.93	1.42
166	Bamber Bridg	Stafford Ran	2.21	3.14	2.15	1.83	1.47	1.83	1.47
167	Boreham Wood	Southend Utd.	2.00	2.85	2.60	1.47	1.83	1.47	1.83
168	Basford Utd	Royston Town	1.83	3.08	2.73	1.98	1.39	1.98	1.39
169	Northeast Utd	Chennaiyin FC	2.92	3.08	1.76	1.86	1.45	1.86	1.45
170	Buxton FC	Peterborough 	2.21	2.85	2.31	1.59	1.67	1.59	1.67
171	Slough Town	Hav&Waterloo	3.88	3.39	1.46	1.83	1.47	1.83	1.47
172	Elgin City	Clyde Bank	2.10	3.03	2.32	1.86	1.45	1.86	1.45
173	Köln II	1. FC Kaan-Ma	1.90	3.18	2.53	2.02	1.38	2.02	1.38
174	Fas	Portekiz	4.70	3.04	1.51	1.42	2.04	1.42	2.04
175	İngiltere (D)	Fas (D)	1.85	3.40	2.80	1.29	2.43	1.29	2.43
176	M'Brough (D)	Millwall (D)	1.85	3.40	2.80	1.29	2.43	1.29	2.43
177	Portekiz (D)	Fransa (D)	1.85	3.40	2.80	1.29	2.43	1.29	2.43
178	Blackpool	Birmingham	2.41	2.87	2.27	1.54	1.84	1.54	1.84
179	M'Brough	Luton	2.41	2.87	2.27	1.54	1.84	1.54	1.84
180	Millwall	Wigan Ath.	2.41	2.87	2.27	1.54	1.84	1.54	1.84
